"site_no","SAMPLE_DATE","Dec_Lat","Dec_Long","AP","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
424040074132301,2021-07-21,42.778056,-74.223194,"N","SODIUM",133000,"ug/L"
424042078501601,2021-07-26,42.67825,-78.83775,"N","SODIUM",11500,"ug/L"
424049078221801,2021-07-28,42.680389,-78.371639,"N","SODIUM",22000,"ug/L"
424102075225601,2019-10-29,42.683833,-75.382167,"N","SODIUM",29100,"ug/L"
424102078400701,2021-07-28,42.683778,-78.668583,"N","SODIUM",18000,"ug/L"
424102079014101,2016-10-25,42.683936,-79.027941,"N","SODIUM",119000,"ug/L"
424114077065201,2017-10-30,42.687461,-77.114124,"N","SODIUM",71000,"ug/L"
424135073222101,2012-08-30,42.693056,-73.3725,"N","SODIUM",46200,"ug/L"
424204074272201,2016-12-05,42.70111,-74.45622,"N","SODIUM",19200,"ug/L"
424235078323101,2021-09-13,42.709722,-78.541667,"N","SODIUM",30000,"ug/L"
424242074364401,2016-10-19,42.71169,-74.61231,"N","SODIUM",91900,"ug/L"
424409073334801,2013-07-10,42.736,-73.563306,"N","SODIUM",20300,"ug/L"
424450078282601,2016-08-16,42.747242,-78.473858,"N","SODIUM",94300,"ug/L"
424450078282601,2016-11-01,42.747242,-78.473858,"N","SODIUM",25900,"ug/L"
424508073210301,2017-09-27,42.75272,-73.35022,"N","SODIUM",15800,"ug/L"
424549078184101,2021-07-26,42.762333,-78.311444,"N","SODIUM",9750,"ug/L"
424555076582101,2017-12-11,42.76491,-76.972181,"N","SODIUM",37100,"ug/L"
424601075440801,2014-07-23,42.766889,-75.735333,"N","SODIUM",29000,"ug/L"
424619077122701,2017-10-24,42.772014,-77.206843,"N","SODIUM",510000,"ug/L"
424631073391401,2017-09-27,42.772583,-73.649944,"N","SODIUM",22300,"ug/L"
424656075385001,2019-10-29,42.782278,-75.647306,"N","SODIUM",31600,"ug/L"
424702075253201,2019-10-29,42.783833,-75.4255,"N","SODIUM",19100,"ug/L"
424713073473601,2011-07-25,42.786861,-73.792861,"N","SODIUM",15200,"ug/L"
424713073473601,2016-10-31,42.786861,-73.792861,"N","SODIUM",21500,"ug/L"
424713073473601,2021-09-23,42.786861,-73.792861,"N","SODIUM",21400,"ug/L"
424748076065501,2019-10-02,42.796667,-76.115278,"N","SODIUM",73900,"ug/L"
424815078164201,2021-07-26,42.804278,-78.278194,"N","SODIUM",10700,"ug/L"
424834073491501,2016-10-31,42.80889,-73.78733,"N","SODIUM",63200,"ug/L"
425004077575501,2020-09-14,42.8345,-77.9655,"N","SODIUM",73000,"ug/L"
425004078232701,2016-07-25,42.834353,-78.390775,"N","SODIUM",31100,"ug/L"
425008074060201,2016-10-17,42.839306,-74.10553,"N","SODIUM",7150,"ug/L"
425029074504301,2019-07-09,42.841389,-74.845333,"N","SODIUM",3420,"ug/L"
425106075422101,2019-10-29,42.851889,-75.705889,"N","SODIUM",25200,"ug/L"
425129075572401,2019-10-02,42.858,-75.956806,"N","SODIUM",141000,"ug/L"
425135076202901,2017-12-04,42.859901,-76.340882,"N","SODIUM",96400,"ug/L"
425210074403901,2016-10-26,42.86958,-74.67733,"N","SODIUM",8000,"ug/L"
425245074300201,2016-10-24,42.87514,-74.49542,"N","SODIUM",37100,"ug/L"
425248075543801,2017-12-04,42.879777,-75.913548,"N","SODIUM",40500,"ug/L"
425304075111801,2019-07-30,42.883944,-75.186417,"N","SODIUM",23400,"ug/L"
425325073471901,2012-08-06,42.890472,-73.788222,"N","SODIUM",40000,"ug/L"
425325073471901,2012-08-06,42.86556,-73.77139,"N","SODIUM",40000,"ug/L"
425325073471901,2017-05-31,42.890472,-73.788222,"N","SODIUM",47800,"ug/L"
425325073471901,2017-05-31,42.86556,-73.77139,"N","SODIUM",47800,"ug/L"
425325075342201,2014-07-28,42.890306,-75.572528,"N","SODIUM",11400,"ug/L"
425330073171501,2012-08-09,42.891667,-73.287528,"N","SODIUM",5250,"ug/L"
425333076280501,2017-10-10,42.892411,-76.468,"N","SODIUM",196000,"ug/L"
425424078294802,2011-08-03,42.9042,-78.4983,"N","SODIUM",63100,"ug/L"
425424078294802,2011-08-03,42.904194,-78.498139,"N","SODIUM",63100,"ug/L"
425424078294802,2016-11-15,42.9042,-78.4983,"N","SODIUM",122000,"ug/L"
425424078294802,2016-11-15,42.904194,-78.498139,"N","SODIUM",122000,"ug/L"
425424078294802,2021-07-29,42.9042,-78.4983,"N","SODIUM",131000,"ug/L"
425424078294802,2021-07-29,42.904194,-78.498139,"N","SODIUM",131000,"ug/L"
425424078294802,2021-07-29,42.9042,-78.4983,"N","SODIUM",135000,"ug/L"
425424078294802,2021-07-29,42.904194,-78.498139,"N","SODIUM",135000,"ug/L"
425508078153701,2016-08-01,42.918908,-78.260358,"N","SODIUM",183000,"ug/L"
425545074574901,2019-07-30,42.92925,-74.963583,"N","SODIUM",3640,"ug/L"
425549074030501,2021-08-03,42.930194,-74.051472,"N","SODIUM",1e+05,"ug/L"
425550074330701,2011-07-27,42.930611,-74.551667,"N","SODIUM",53300,"ug/L"
425550074330701,2011-07-27,42.9304,-74.5516,"N","SODIUM",53300,"ug/L"
425550074330701,2011-07-27,42.930444,-74.551639,"N","SODIUM",53300,"ug/L"
425550074330701,2016-11-07,42.930611,-74.551667,"N","SODIUM",52400,"ug/L"
425550074330701,2016-11-07,42.9304,-74.5516,"N","SODIUM",52400,"ug/L"
425550074330701,2016-11-07,42.930444,-74.551639,"N","SODIUM",52400,"ug/L"
425550074330701,2021-09-08,42.930611,-74.551667,"N","SODIUM",58800,"ug/L"
425550074330701,2021-09-08,42.9304,-74.5516,"N","SODIUM",58800,"ug/L"
425550074330701,2021-09-08,42.930444,-74.551639,"N","SODIUM",58800,"ug/L"
425552075224901,2011-07-21,42.928611,-75.381556,"N","SODIUM",40000,"ug/L"
425552075224901,2016-11-01,42.928611,-75.381556,"N","SODIUM",55100,"ug/L"
425552075224901,2021-08-18,42.928611,-75.381556,"N","SODIUM",52600,"ug/L"
425553075283501,2021-08-18,42.931622,-75.476539,"N","SODIUM",3660,"ug/L"
